mode,pattern,attack_information_ratio,defense_budget,T_opt,n_runs,lookahead_runs,infection_rate,activation_rate,detection_rate,PAS_at_T_opt,PS_at_T_opt,EP_max,mean_active_infectious,mean_exposed,mean_detected,RT,RI,RE,selected_policy_mode,safe_guard_mode,best_before_guard_mode
FULL,DCAC,0.25,0,180,30,10,0.01,0.15,1e-05,0.8065277041722951,0.9333333333333332,0.7527591905608088,95.16666666666669,2.8666666666666667,0.0666666666666666,17.130554083445908,0.475756992288008,0.1934722958277047,NP,zero_budget,NP
FULL,DCAC,0.25,20,300,30,10,0.01,0.15,1e-05,0.494397085920686,0.9666666666666668,0.4779171830566631,60.93333333333333,1.6333333333333333,0.0333333333333333,10.195785798124762,0.6976138975668389,0.4213357617327616,CDP,switched_with_counterfactual_gain,HYBRID
FULL,DCAC,0.25,40,300,30,10,0.01,0.15,1e-05,0.2197998353589852,0.9666666666666668,0.2124731741803524,25.9,1.5,0.0333333333333333,4.780557168174547,0.8907167562775045,0.5572858318864391,CDP_PHYSICS_90,switched_with_counterfactual_gain,CDP_PHYSICS_90
FULL,DCAC,0.25,60,300,30,10,0.01,0.15,1e-05,0.1116877785261788,1.0,0.1116877785261788,13.366666666666667,0.7333333333333333,0.0,2.7646669007136255,0.9560468259528876,0.5551951384211383,CDP_PHYSICS_90,switched_with_counterfactual_gain,CDP_PHYSICS_90
FULL,DCAC,0.25,80,270,30,10,0.01,0.15,1e-05,0.1315471376737759,1.0,0.1315471376737759,14.533333333333331,0.6666666666666666,0.0,2.894278782502373,0.9552888496654772,0.4824738124034579,HYBRID,switched_with_counterfactual_gain,HYBRID
FULL,DCAC,0.25,100,300,30,10,0.01,0.15,1e-05,0.1052841409065909,1.0,0.1052841409065909,11.666666666666666,0.5,0.0,2.3686938317856825,0.9742937653754676,0.4473579295467046,PHYSICS,switched_with_counterfactual_gain,PHYSICS
FULL,DCAC,0.5,0,300,30,10,0.01,0.15,1e-05,0.9230096973474242,0.9333333333333332,0.8614757175242627,115.46666666666668,0.3333333333333333,0.0666666666666666,19.460193946948483,0.4000436967241743,0.0769903026525758,NP,zero_budget,NP
FULL,DCAC,0.5,20,300,30,10,0.01,0.15,1e-05,0.4490691986976401,0.9666666666666668,0.4341002254077188,55.63333333333333,1.8333333333333333,0.0333333333333333,9.352687095776108,0.7271714781663391,0.4591090010852998,CDP,fallback_to_cdp,CDP_PHYSICS_90
FULL,DCAC,0.5,40,300,30,10,0.01,0.15,1e-05,0.1966593590281939,0.9666666666666668,0.1901040470605874,23.9,1.2666666666666666,0.0333333333333333,4.382540975284936,0.902692332581839,0.57381474355129,CDP,switched_with_counterfactual_gain,CDP
FULL,DCAC,0.5,60,270,30,10,0.01,0.15,1e-05,0.1260831073159148,1.0,0.1260831073159148,15.533333333333331,0.7333333333333333,0.0,2.9921130955914537,0.9566630244506944,0.5461980579275532,CDP,switched_with_counterfactual_gain,CDP_PHYSICS_90
FULL,DCAC,0.5,80,270,30,10,0.01,0.15,1e-05,0.1266150767446544,1.0,0.1266150767446544,14.133333333333333,0.8333333333333334,0.0,2.823257105123022,0.9587596645060528,0.4852138462529697,PHYSICS,switched_with_counterfactual_gain,PHYSICS
FULL,DCAC,0.5,100,300,30,10,0.01,0.15,1e-05,0.1025814998696839,1.0,0.1025814998696839,11.166666666666666,0.5,0.0,2.333559498305891,0.9729498277948884,0.4487092500651581,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
FULL,DCAC,1.0,0,210,30,10,0.01,0.15,1e-05,0.8867666725483297,0.9333333333333332,0.8276488943784411,108.9,1.1333333333333333,0.0666666666666666,18.735333450966593,0.4236016628435857,0.1132333274516703,NP,zero_budget,NP
