comm_node,power_node,pattern
0,88,DCAC
4,79,DCAC
1,9,DCAC
6,58,DCAC
5,65,DCAC
10,68,DCAC
16,64,DCAC
26,25,DCAC
8,48,DCAC
2,99,DCAC
27,24,DCAC
49,115,DCAC
37,89,DCAC
69,53,DCAC
24,60,DCAC
50,11,DCAC
33,41,DCAC
31,14,DCAC
18,55,DCAC
17,59,DCAC
15,61,DCAC
21,26,DCAC
57,77,DCAC
62,10,DCAC
13,75,DCAC
35,73,DCAC
43,111,DCAC
45,39,DCAC
32,69,DCAC
22,91,DCAC
66,102,DCAC
12,54,DCAC
87,76,DCAC
79,17,DCAC
39,31,DCAC
52,33,DCAC
3,81,DCAC
7,44,DCAC
41,5,DCAC
34,0,DCAC
94,106,DCAC
67,30,DCAC
82,87,DCAC
72,45,DCAC
75,74,DCAC
74,18,DCAC
64,105,DCAC
61,98,DCAC
19,94,DCAC
11,78,DCAC
9,2,DCAC
30,109,DCAC
25,3,DCAC
29,103,DCAC
92,95,DCAC
59,40,DCAC
53,110,DCAC
51,97,DCAC
46,46,DCAC
38,12,DCAC
47,34,DCAC
48,117,DCAC
40,104,DCAC
23,35,DCAC
28,93,DCAC
36,7,DCAC
14,66,DCAC
20,38,DCAC
42,15,DCAC
44,84,DCAC
68,28,DCAC
65,32,DCAC
63,52,DCAC
54,114,DCAC
56,100,DCAC
71,85,DCAC
73,1,DCAC
70,47,DCAC
77,116,DCAC
76,82,DCAC
80,6,DCAC
78,19,DCAC
81,42,DCAC
60,51,DCAC
55,49,DCAC
58,50,DCAC
85,27,DCAC
84,43,DCAC
83,96,DCAC
88,20,DCAC
89,13,DCAC
90,23,DCAC
91,56,DCAC
86,57,DCAC
93,92,DCAC
95,71,DCAC
96,83,DCAC
97,16,DCAC
98,21,DCAC
99,90,DCAC
100,113,DCAC
101,108,DCAC
102,22,DCAC
103,112,DCAC
104,72,DCAC
105,101,DCAC
106,86,DCAC
107,107,DCAC
108,4,DCAC
109,8,DCAC
110,36,DCAC
111,29,DCAC
112,37,DCAC
113,80,DCAC
114,63,DCAC
115,70,DCAC
116,62,DCAC
117,67,DCAC
