comm_node,power_node,pattern
0,4,DCDC
4,8,DCDC
1,29,DCDC
6,37,DCDC
5,63,DCDC
10,62,DCDC
16,36,DCDC
26,67,DCDC
8,70,DCDC
2,80,DCDC
27,107,DCDC
49,86,DCDC
37,101,DCDC
69,72,DCDC
24,112,DCDC
50,22,DCDC
33,113,DCDC
31,108,DCDC
18,21,DCDC
17,90,DCDC
15,83,DCDC
21,16,DCDC
57,71,DCDC
62,92,DCDC
13,57,DCDC
35,56,DCDC
43,23,DCDC
45,13,DCDC
32,20,DCDC
22,96,DCDC
66,43,DCDC
12,49,DCDC
87,50,DCDC
79,27,DCDC
39,51,DCDC
52,19,DCDC
3,42,DCDC
7,6,DCDC
41,82,DCDC
34,47,DCDC
94,1,DCDC
67,116,DCDC
82,85,DCDC
72,100,DCDC
75,114,DCDC
74,52,DCDC
64,32,DCDC
61,84,DCDC
19,28,DCDC
11,15,DCDC
9,38,DCDC
30,66,DCDC
25,7,DCDC
29,93,DCDC
92,104,DCDC
59,35,DCDC
53,34,DCDC
51,117,DCDC
46,12,DCDC
38,46,DCDC
47,97,DCDC
48,110,DCDC
40,40,DCDC
23,103,DCDC
28,95,DCDC
36,109,DCDC
14,2,DCDC
20,3,DCDC
42,78,DCDC
44,94,DCDC
68,98,DCDC
65,105,DCDC
63,18,DCDC
54,45,DCDC
56,74,DCDC
71,87,DCDC
73,106,DCDC
70,30,DCDC
77,0,DCDC
76,5,DCDC
80,44,DCDC
78,81,DCDC
81,33,DCDC
60,31,DCDC
55,17,DCDC
58,76,DCDC
85,54,DCDC
84,102,DCDC
83,91,DCDC
88,69,DCDC
89,39,DCDC
90,75,DCDC
91,73,DCDC
86,111,DCDC
93,10,DCDC
95,26,DCDC
96,77,DCDC
97,61,DCDC
98,59,DCDC
99,55,DCDC
100,14,DCDC
101,41,DCDC
102,11,DCDC
103,60,DCDC
104,53,DCDC
105,89,DCDC
106,115,DCDC
107,24,DCDC
108,99,DCDC
109,48,DCDC
110,25,DCDC
111,64,DCDC
112,68,DCDC
113,65,DCDC
114,58,DCDC
115,9,DCDC
116,88,DCDC
117,79,DCDC
