comm_node,power_node,pattern
0,48,DDAC
4,99,DDAC
1,11,DDAC
6,76,DDAC
5,79,DDAC
10,91,DDAC
16,31,DDAC
26,55,DDAC
8,84,DDAC
2,68,DDAC
27,104,DDAC
49,69,DDAC
37,95,DDAC
69,93,DDAC
24,58,DDAC
50,53,DDAC
33,36,DDAC
31,74,DDAC
18,16,DDAC
17,14,DDAC
15,39,DDAC
21,22,DDAC
57,102,DDAC
62,88,DDAC
13,61,DDAC
35,33,DDAC
43,26,DDAC
45,10,DDAC
32,4,DDAC
22,18,DDAC
66,109,DDAC
12,103,DDAC
87,60,DDAC
79,105,DDAC
39,81,DDAC
52,82,DDAC
3,70,DDAC
7,65,DDAC
41,23,DDAC
34,29,DDAC
94,30,DDAC
67,41,DDAC
82,46,DDAC
72,50,DDAC
75,54,DDAC
74,59,DDAC
64,2,DDAC
61,45,DDAC
19,44,DDAC
11,42,DDAC
9,15,DDAC
30,8,DDAC
25,19,DDAC
29,21,DDAC
92,113,DDAC
59,101,DDAC
53,47,DDAC
51,52,DDAC
46,40,DDAC
38,38,DDAC
47,43,DDAC
48,51,DDAC
40,32,DDAC
23,28,DDAC
28,24,DDAC
36,27,DDAC
14,35,DDAC
20,34,DDAC
42,37,DDAC
44,49,DDAC
68,17,DDAC
65,3,DDAC
63,0,DDAC
54,1,DDAC
56,5,DDAC
71,12,DDAC
73,6,DDAC
70,7,DDAC
77,20,DDAC
76,13,DDAC
80,83,DDAC
78,77,DDAC
81,63,DDAC
60,56,DDAC
55,64,DDAC
58,66,DDAC
85,117,DDAC
84,112,DDAC
83,98,DDAC
88,100,DDAC
89,94,DDAC
90,73,DDAC
91,75,DDAC
86,78,DDAC
93,71,DDAC
95,57,DDAC
96,96,DDAC
97,92,DDAC
98,97,DDAC
99,89,DDAC
100,90,DDAC
101,87,DDAC
102,107,DDAC
103,106,DDAC
104,114,DDAC
105,108,DDAC
106,25,DDAC
107,9,DDAC
108,62,DDAC
109,85,DDAC
110,116,DDAC
111,111,DDAC
112,72,DDAC
113,110,DDAC
114,80,DDAC
115,67,DDAC
116,86,DDAC
117,115,DDAC
