comm_node,power_node,pattern
0,115,DDDC
4,86,DDDC
1,80,DDDC
6,67,DDDC
5,9,DDDC
10,25,DDDC
16,62,DDDC
26,85,DDDC
8,72,DDDC
2,111,DDDC
27,116,DDDC
49,110,DDDC
37,7,DDDC
69,6,DDDC
24,8,DDDC
50,3,DDDC
33,24,DDDC
31,27,DDDC
18,20,DDDC
17,51,DDDC
15,57,DDDC
21,63,DDDC
57,56,DDDC
62,0,DDDC
13,15,DDDC
35,12,DDDC
43,13,DDDC
45,28,DDDC
32,19,DDDC
22,21,DDDC
66,17,DDDC
12,1,DDDC
87,49,DDDC
79,52,DDDC
39,40,DDDC
52,83,DDDC
3,101,DDDC
7,107,DDDC
41,96,DDDC
34,97,DDDC
94,108,DDDC
67,106,DDDC
82,117,DDDC
72,114,DDDC
75,112,DDDC
74,113,DDDC
64,89,DDDC
61,92,DDDC
19,64,DDDC
11,66,DDDC
9,77,DDDC
30,78,DDDC
25,87,DDDC
29,94,DDDC
92,90,DDDC
59,47,DDDC
53,37,DDDC
51,42,DDDC
46,43,DDDC
38,38,DDDC
47,34,DDDC
48,35,DDDC
40,32,DDDC
23,5,DDDC
28,98,DDDC
36,100,DDDC
14,73,DDDC
20,71,DDDC
42,75,DDDC
44,81,DDDC
68,105,DDDC
65,103,DDDC
63,46,DDDC
54,54,DDDC
56,59,DDDC
71,44,DDDC
73,60,DDDC
70,82,DDDC
77,70,DDDC
76,65,DDDC
80,2,DDDC
78,50,DDDC
81,45,DDDC
60,41,DDDC
55,23,DDDC
58,29,DDDC
85,30,DDDC
84,4,DDDC
83,102,DDDC
88,22,DDDC
89,10,DDDC
90,18,DDDC
91,26,DDDC
86,61,DDDC
93,39,DDDC
95,33,DDDC
96,109,DDDC
97,88,DDDC
98,104,DDDC
99,58,DDDC
100,36,DDDC
101,14,DDDC
102,31,DDDC
103,53,DDDC
104,16,DDDC
105,95,DDDC
106,55,DDDC
107,69,DDDC
108,68,DDDC
109,74,DDDC
110,93,DDDC
111,84,DDDC
112,91,DDDC
113,79,DDDC
114,76,DDDC
115,11,DDDC
116,99,DDDC
117,48,DDDC
