comm_node,power_node,pattern
0,2,RC
1,76,RC
2,90,RC
3,33,RC
4,72,RC
5,84,RC
6,51,RC
7,3,RC
8,0,RC
9,52,RC
10,38,RC
11,25,RC
12,28,RC
13,69,RC
14,56,RC
15,45,RC
16,24,RC
17,46,RC
18,111,RC
19,20,RC
20,91,RC
21,18,RC
22,103,RC
23,55,RC
24,86,RC
25,114,RC
26,117,RC
27,68,RC
28,78,RC
29,27,RC
30,4,RC
31,81,RC
32,115,RC
33,21,RC
34,37,RC
35,79,RC
36,96,RC
37,59,RC
38,50,RC
39,93,RC
40,7,RC
41,92,RC
42,82,RC
43,26,RC
44,71,RC
45,102,RC
46,87,RC
47,10,RC
48,29,RC
49,63,RC
50,105,RC
51,80,RC
52,17,RC
53,39,RC
54,100,RC
55,108,RC
56,109,RC
57,73,RC
58,40,RC
59,95,RC
60,42,RC
61,94,RC
62,5,RC
63,83,RC
64,1,RC
65,112,RC
66,70,RC
67,99,RC
68,110,RC
69,43,RC
70,89,RC
71,32,RC
72,61,RC
73,57,RC
74,75,RC
75,23,RC
76,113,RC
77,85,RC
78,15,RC
79,48,RC
80,60,RC
81,9,RC
82,62,RC
83,31,RC
84,88,RC
85,16,RC
86,44,RC
87,98,RC
88,67,RC
89,34,RC
90,30,RC
91,58,RC
92,74,RC
93,104,RC
94,116,RC
95,54,RC
96,49,RC
97,6,RC
98,106,RC
99,11,RC
100,101,RC
101,41,RC
102,22,RC
103,19,RC
104,35,RC
105,64,RC
106,47,RC
107,12,RC
108,53,RC
109,107,RC
110,14,RC
111,13,RC
112,66,RC
113,36,RC
114,97,RC
115,65,RC
116,77,RC
117,8,RC
