pattern,strategy,attack_information_ratio,defense_budget,T_opt,n_runs,lookahead_runs,infection_rate,activation_rate,detection_rate,PAS_at_T_opt,PS_at_T_opt,EP_max,mean_active_infectious,mean_exposed,mean_detected,RT,RI,RE,selected_policy_mode,best_before_guard_mode,safe_guard_mode
DCAC,CDP,0.25,0,210,50,20,0.01,0.15,1e-05,0.8398174119327401,0.92,0.772632018978121,101.58,2.06,0.08,17.7963482386548,0.4541186822437189,0.1601825880672599,CDP,CDP,
DCAC,CDP,0.25,20,300,50,20,0.01,0.15,1e-05,0.4602603924370765,0.92,0.4234395610421104,57.92,2.48,0.08,9.560843299329624,0.7191975417361727,0.4497830063024363,CDP,CDP,
DCAC,CDP,0.25,40,300,50,20,0.01,0.15,1e-05,0.1789835688628275,0.96,0.1718242261083144,22.34,1.04,0.04,4.078517384440633,0.912875214688106,0.5864403079551233,CDP,CDP,
DCAC,CDP,0.25,60,300,50,20,0.01,0.15,1e-05,0.1337300962805389,1.0,0.1337300962805389,15.44,0.54,0.0,3.112935521232515,0.9382971950071975,0.5414186898246631,CDP,CDP,
DCAC,CDP,0.25,80,300,50,20,0.01,0.15,1e-05,0.1458784203127179,1.0,0.1458784203127179,16.42,0.58,0.0,3.1006492525031373,0.9459602890527896,0.4745119887151567,CDP,CDP,
DCAC,CDP,0.25,100,300,50,20,0.01,0.15,1e-05,0.1003698193142773,0.96,0.0963550265417062,10.8,0.46,0.04,2.304807651085606,0.976777687468024,0.4498150903428613,CDP,CDP,
DCAC,CDP,0.5,0,180,50,20,0.01,0.15,1e-05,0.8381115062503707,0.96,0.8045870460003558,96.68,2.8,0.04,17.762230125007413,0.455227520937259,0.1618884937496292,CDP,CDP,
DCAC,CDP,0.5,20,300,50,20,0.01,0.15,1e-05,0.5056272435235128,0.96,0.4854021537825723,61.68,1.94,0.04,10.40466672953734,0.6905422917097165,0.4119772970637392,CDP,CDP,
DCAC,CDP,0.5,40,300,50,20,0.01,0.15,1e-05,0.1671150901310627,0.96,0.1604304865258202,21.76,0.9,0.04,3.8743795502542793,0.9203114411641906,0.5949177927635266,CDP,CDP,
DCAC,CDP,0.5,60,300,50,20,0.01,0.15,1e-05,0.1224941942143509,1.0,0.1224941942143509,14.32,0.66,0.0,2.935408268586744,0.9472680286621816,0.5484411286160307,CDP,CDP,
DCAC,CDP,0.5,80,300,50,20,0.01,0.15,1e-05,0.1085357900562464,1.0,0.1085357900562464,12.04,0.66,0.0,2.5629153768099484,0.9701901035502336,0.4952578944131964,CDP,CDP,
DCAC,CDP,0.5,100,300,50,20,0.01,0.15,1e-05,0.1003698193142773,0.96,0.0963550265417062,10.8,0.46,0.04,2.304807651085606,0.976777687468024,0.4498150903428613,CDP,CDP,
DCAC,CDP,1.0,0,210,50,20,0.01,0.15,1e-05,0.8952924553163655,0.94,0.8415749079973835,107.98,1.42,0.06,18.90584910632731,0.4180599040443623,0.1047075446836344,CDP,CDP,
DCAC,CDP,1.0,20,300,50,20,0.01,0.15,1e-05,0.532769085152835,0.94,0.5008029400436649,64.14,2.24,0.06,10.909504983842732,0.6724671702394027,0.3893590957059709,CDP,CDP,
DCAC,CDP,1.0,40,300,50,20,0.01,0.15,1e-05,0.2056542231653072,1.0,0.2056542231653072,24.66,1.14,0.0,4.5372526384432845,0.8962201944607132,0.5673898405962092,CDP,CDP,
DCAC,CDP,1.0,60,300,50,20,0.01,0.15,1e-05,0.1224941942143509,1.0,0.1224941942143509,14.32,0.66,0.0,2.935408268586744,0.9472680286621816,0.5484411286160307,CDP,CDP,
DCAC,CDP,1.0,80,300,50,20,0.01,0.15,1e-05,0.1085357900562464,1.0,0.1085357900562464,12.04,0.66,0.0,2.5629153768099484,0.9701901035502336,0.4952578944131964,CDP,CDP,
DCAC,CDP,1.0,100,300,50,20,0.01,0.15,1e-05,0.1003698193142773,0.96,0.0963550265417062,10.8,0.46,0.04,2.304807651085606,0.976777687468024,0.4498150903428613,CDP,CDP,
DCAC,CP,0.25,0,210,50,20,0.01,0.15,1e-05,0.8398174119327401,0.92,0.772632018978121,101.58,2.06,0.08,17.7963482386548,0.4541186822437189,0.1601825880672599,CP,CP,
DCAC,CP,0.25,20,300,50,20,0.01,0.15,1e-05,0.4602603924370765,0.92,0.4234395610421104,57.92,2.48,0.08,9.560843299329624,0.7191975417361727,0.4497830063024363,CP,CP,
DCAC,CP,0.25,40,300,50,20,0.01,0.15,1e-05,0.1789835688628275,0.96,0.1718242261083144,22.34,1.04,0.04,4.078517384440633,0.912875214688106,0.5864403079551233,CP,CP,
DCAC,CP,0.25,60,300,50,20,0.01,0.15,1e-05,0.1337300962805389,1.0,0.1337300962805389,15.44,0.54,0.0,3.112935521232515,0.9382971950071975,0.5414186898246631,CP,CP,
DCAC,CP,0.25,80,300,50,20,0.01,0.15,1e-05,0.1458784203127179,1.0,0.1458784203127179,16.42,0.58,0.0,3.1006492525031373,0.9459602890527896,0.4745119887151567,CP,CP,
DCAC,CP,0.25,100,300,50,20,0.01,0.15,1e-05,0.1003698193142773,0.96,0.0963550265417062,10.8,0.46,0.04,2.304807651085606,0.976777687468024,0.4498150903428613,CP,CP,
DCAC,CP,0.5,0,180,50,20,0.01,0.15,1e-05,0.8381115062503707,0.96,0.8045870460003558,96.68,2.8,0.04,17.762230125007413,0.455227520937259,0.1618884937496292,CP,CP,
DCAC,CP,0.5,20,300,50,20,0.01,0.15,1e-05,0.5056272435235128,0.96,0.4854021537825723,61.68,1.94,0.04,10.40466672953734,0.6905422917097165,0.4119772970637392,CP,CP,
DCAC,CP,0.5,40,300,50,20,0.01,0.15,1e-05,0.1671150901310627,0.96,0.1604304865258202,21.76,0.9,0.04,3.8743795502542793,0.9203114411641906,0.5949177927635266,CP,CP,
