pattern,strategy,attack_information_ratio,defense_budget,onset_time,n_runs,lookahead_runs,infection_rate,activation_rate,detection_rate,PAS,PS,EP,mean_active_infectious,mean_exposed,mean_detected,RT,RI,RE,selected_policy_mode,best_before_guard_mode,safe_guard_mode
DDAC,NP,0.25,0,0,50,20,0.01,0.15,1e-05,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,NP,NP,
DDAC,NP,0.25,0,30,50,20,0.01,0.15,1e-05,0.0638300289174804,1.0,0.0638300289174804,4.92,1.74,0.0,2.2766005783496093,0.9585104812036376,0.9361699710825196,NP,NP,
DDAC,NP,0.25,0,60,50,20,0.01,0.15,1e-05,0.2246264718536681,1.0,0.2246264718536681,20.08,3.38,0.0,5.492529437073365,0.8539927932951157,0.7753735281463318,NP,NP,
DDAC,NP,0.25,0,90,50,20,0.01,0.15,1e-05,0.3977023967305942,0.98,0.3897483487959823,39.16,4.96,0.02,8.954047934611886,0.7414934421251137,0.6022976032694057,NP,NP,
DDAC,NP,0.25,0,120,50,20,0.01,0.15,1e-05,0.576800524370758,0.96,0.5537285033959277,59.92,5.24,0.04,12.536010487415158,0.6250796591590073,0.423199475629242,NP,NP,
DDAC,NP,0.25,0,150,50,20,0.01,0.15,1e-05,0.753566111014596,0.96,0.7234234665740121,85.12,4.08,0.04,16.07132222029192,0.5101820278405126,0.2464338889854039,NP,NP,
DDAC,NP,0.25,0,180,50,20,0.01,0.15,1e-05,0.787238348811199,0.96,0.755748814858751,90.32,3.08,0.04,16.74476697622398,0.4882950732727207,0.212761651188801,NP,NP,
DDAC,NP,0.25,0,210,50,20,0.01,0.15,1e-05,0.842798993723513,0.92,0.775375074225632,101.58,2.06,0.08,17.855979874470258,0.4521806540797166,0.1572010062764871,NP,NP,
DDAC,NP,0.25,0,240,50,20,0.01,0.15,1e-05,0.757325250278616,0.8,0.6058602002228928,102.2,1.92,0.2,16.14650500557232,0.5077385873188995,0.242674749721384,NP,NP,
DDAC,NP,0.25,0,270,50,20,0.01,0.15,1e-05,0.8626241842527383,0.88,0.7591092821424098,112.7,0.58,0.12,18.252483685054766,0.4392942802357201,0.1373758157472616,NP,NP,
