pattern,strategy_DRAD,attack_information_ratio,defense_budget,T_opt_DRAD,n_runs_DRAD,lookahead_runs_DRAD,infection_rate_DRAD,activation_rate_DRAD,detection_rate_DRAD,PAS_at_T_opt_DRAD,PS_at_T_opt_DRAD,EP_max_DRAD,mean_active_infectious_DRAD,mean_exposed_DRAD,mean_detected_DRAD,RT_DRAD,RI_DRAD,RE_DRAD,selected_policy_mode_DRAD,best_before_guard_mode_DRAD,safe_guard_mode_DRAD,strategy_CDP,T_opt_CDP,n_runs_CDP,lookahead_runs_CDP,infection_rate_CDP,activation_rate_CDP,detection_rate_CDP,PAS_at_T_opt_CDP,PS_at_T_opt_CDP,EP_max_CDP,mean_active_infectious_CDP,mean_exposed_CDP,mean_detected_CDP,RT_CDP,RI_CDP,RE_CDP,selected_policy_mode_CDP,best_before_guard_mode_CDP,safe_guard_mode_CDP,EP_improvement_vs_CDP_percent
DCAC,DRAD-CF-MPC,0.25,0,210,50,20,0.01,0.15,1e-05,0.8398174119327401,0.92,0.772632018978121,101.58,2.06,0.08,17.7963482386548,0.4541186822437189,0.1601825880672599,NP,NP,zero_budget,CDP,210,50,20,0.01,0.15,1e-05,0.8398174119327401,0.92,0.772632018978121,101.58,2.06,0.08,17.7963482386548,0.4541186822437189,0.1601825880672599,CDP,CDP,,0.0
DCAC,DRAD-CF-MPC,0.25,20,300,50,20,0.01,0.15,1e-05,0.4503652163432072,0.94,0.4233433033626148,54.82,2.1,0.06,9.376793023983655,0.7258455326576125,0.4580289863806606,CDP,CDP,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.4602603924370765,0.92,0.4234395610421104,57.92,2.48,0.08,9.560843299329624,0.7191975417361727,0.4497830063024363,CDP,CDP,,0.0227323302665654
DCAC,DRAD-CF-MPC,0.25,40,300,50,20,0.01,0.15,1e-05,0.1617559980246679,0.96,0.1552857581036812,20.58,1.2,0.04,3.782203166024288,0.9238488084454012,0.5987457156966659,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1789835688628275,0.96,0.1718242261083144,22.34,1.04,0.04,4.078517384440633,0.912875214688106,0.5864403079551233,CDP,CDP,,9.625224788797508
DCAC,DRAD-CF-MPC,0.25,60,300,50,20,0.01,0.15,1e-05,0.1195035026907604,1.0,0.1195035026907604,14.28,0.46,0.0,2.888155342514016,0.9473516471379057,0.5503103108182748,CDP_PHYSICS_90,CDP_PHYSICS_90,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1337300962805389,1.0,0.1337300962805389,15.44,0.54,0.0,3.112935521232515,0.9382971950071975,0.5414186898246631,CDP,CDP,,10.638288601712786
DCAC,DRAD-CF-MPC,0.25,80,300,50,20,0.01,0.15,1e-05,0.1362745540291928,1.0,0.1362745540291928,15.42,0.76,0.0,2.962353578020377,0.9543685245730448,0.4798474699837817,RANK_ENSEMBLE,HYBRID,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1458784203127179,1.0,0.1458784203127179,16.42,0.58,0.0,3.1006492525031373,0.9459602890527896,0.4745119887151567,CDP,CDP,,6.583472910435654
DCAC,DRAD-CF-MPC,0.25,100,300,50,20,0.01,0.15,1e-05,0.0940342708769548,0.98,0.0921535854594158,10.86,0.5,0.02,2.222445521400413,0.9809410375219988,0.4529828645615226,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1003698193142773,0.96,0.0963550265417062,10.8,0.46,0.04,2.304807651085606,0.976777687468024,0.4498150903428613,CDP,CDP,,4.360375616136912
DCAC,DRAD-CF-MPC,0.5,0,180,50,20,0.01,0.15,1e-05,0.8381115062503707,0.96,0.8045870460003558,96.68,2.8,0.04,17.762230125007413,0.455227520937259,0.1618884937496292,NP,NP,zero_budget,CDP,180,50,20,0.01,0.15,1e-05,0.8381115062503707,0.96,0.8045870460003558,96.68,2.8,0.04,17.762230125007413,0.455227520937259,0.1618884937496292,CDP,CDP,,0.0
DCAC,DRAD-CF-MPC,0.5,20,300,50,20,0.01,0.15,1e-05,0.4770068483296243,0.92,0.4388463004632544,59.8,1.78,0.08,9.872327378931017,0.7083455485857442,0.4358276263919796,CDP,CDP,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.5056272435235128,0.96,0.4854021537825723,61.68,1.94,0.04,10.40466672953734,0.6905422917097165,0.4119772970637392,CDP,CDP,,9.59119216023831
DCAC,DRAD-CF-MPC,0.5,40,300,50,20,0.01,0.15,1e-05,0.1623586428427497,0.96,0.1558642971290397,21.62,0.94,0.04,3.7925686568952943,0.9234008017359684,0.5983152551123216,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1671150901310627,0.96,0.1604304865258202,21.76,0.9,0.04,3.8743795502542793,0.9203114411641906,0.5949177927635266,CDP,CDP,,2.846210527459278
DCAC,DRAD-CF-MPC,0.5,60,300,50,20,0.01,0.15,1e-05,0.1090585254396799,1.0,0.1090585254396799,13.28,0.52,0.0,2.723124701946943,0.9557978705039808,0.5568384216002,CDP_PDP_90,CDP_PDP_90,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1224941942143509,1.0,0.1224941942143509,14.32,0.66,0.0,2.935408268586744,0.9472680286621816,0.5484411286160307,CDP,CDP,,10.968412715994058
