pattern,strategy,attack_information_ratio,defense_budget,T_opt,n_runs,lookahead_runs,infection_rate,activation_rate,detection_rate,PAS_at_T_opt,PS_at_T_opt,EP_max,mean_active_infectious,mean_exposed,mean_detected,RT,RI,RE,selected_policy_mode,best_before_guard_mode,safe_guard_mode,selected_policy
DCAC,DRAD-CF-MPC,0.25,0,210,50,20,0.01,0.15,1e-05,0.8398174119327401,0.92,0.772632018978121,101.58,2.06,0.08,17.7963482386548,0.4541186822437189,0.1601825880672599,NP,NP,zero_budget,NP
DCAC,DRAD-CF-MPC,0.25,20,300,50,20,0.01,0.15,1e-05,0.4503652163432072,0.94,0.4233433033626148,54.82,2.1,0.06,9.376793023983655,0.7258455326576125,0.4580289863806606,CDP,CDP,switched_with_counterfactual_gain,CDP
DCAC,DRAD-CF-MPC,0.25,40,300,50,20,0.01,0.15,1e-05,0.1617559980246679,0.96,0.1552857581036812,20.58,1.2,0.04,3.782203166024288,0.9238488084454012,0.5987457156966659,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain,CDP
DCAC,DRAD-CF-MPC,0.25,60,300,50,20,0.01,0.15,1e-05,0.1195035026907604,1.0,0.1195035026907604,14.28,0.46,0.0,2.888155342514016,0.9473516471379057,0.5503103108182748,CDP_PHYSICS_90,CDP_PHYSICS_90,switched_with_counterfactual_gain,CDP_PHYSICS_90
DCAC,DRAD-CF-MPC,0.25,80,300,50,20,0.01,0.15,1e-05,0.1362745540291928,1.0,0.1362745540291928,15.42,0.76,0.0,2.962353578020377,0.9543685245730448,0.4798474699837817,RANK_ENSEMBLE,HYBRID,switched_with_counterfactual_gain,RANK_ENSEMBLE
DCAC,DRAD-CF-MPC,0.25,100,300,50,20,0.01,0.15,1e-05,0.0940342708769548,0.98,0.0921535854594158,10.86,0.5,0.02,2.222445521400413,0.9809410375219988,0.4529828645615226,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain,CDP
DCAC,DRAD-CF-MPC,0.5,0,180,50,20,0.01,0.15,1e-05,0.8381115062503707,0.96,0.8045870460003558,96.68,2.8,0.04,17.762230125007413,0.455227520937259,0.1618884937496292,NP,NP,zero_budget,NP
DCAC,DRAD-CF-MPC,0.5,20,300,50,20,0.01,0.15,1e-05,0.4770068483296243,0.92,0.4388463004632544,59.8,1.78,0.08,9.872327378931017,0.7083455485857442,0.4358276263919796,CDP,CDP,switched_with_counterfactual_gain,CDP
DCAC,DRAD-CF-MPC,0.5,40,300,50,20,0.01,0.15,1e-05,0.1623586428427497,0.96,0.1558642971290397,21.62,0.94,0.04,3.7925686568952943,0.9234008017359684,0.5983152551123216,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain,CDP
DCAC,DRAD-CF-MPC,0.5,60,300,50,20,0.01,0.15,1e-05,0.1090585254396799,1.0,0.1090585254396799,13.28,0.52,0.0,2.723124701946943,0.9557978705039808,0.5568384216002,CDP_PDP_90,CDP_PDP_90,switched_with_counterfactual_gain,CDP_PDP_90
DCAC,DRAD-CF-MPC,0.5,80,300,50,20,0.01,0.15,1e-05,0.0961807665194553,1.0,0.0961807665194553,10.74,0.64,0.0,2.385003037880157,0.9741281695520896,0.5021217963780803,CDP,RANK_ENSEMBLE,switched_with_counterfactual_gain,CDP
DCAC,DRAD-CF-MPC,0.5,100,300,50,20,0.01,0.15,1e-05,0.0932845550763646,0.94,0.0876874817717827,10.86,0.52,0.06,2.2126992159927403,0.981742079648798,0.4533577224618177,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
DCAC,DRAD-CF-MPC,1.0,0,210,50,20,0.01,0.15,1e-05,0.8952924553163655,0.94,0.8415749079973835,107.98,1.42,0.06,18.90584910632731,0.4180599040443623,0.1047075446836344,NP,NP,zero_budget,NP
DCAC,DRAD-CF-MPC,1.0,20,300,50,20,0.01,0.15,1e-05,0.5182074460320226,0.94,0.4871149992701012,62.78,2.4,0.06,10.63865849619562,0.6819322356679308,0.4014937949733146,CDP,CDP,cdp_best,CDP
DCAC,DRAD-CF-MPC,1.0,40,300,50,20,0.01,0.15,1e-05,0.2290033358510298,0.98,0.2244232691340092,28.34,0.96,0.02,4.938857376637714,0.881569143038913,0.5507119029635502,CDP,HYBRID,switched_with_counterfactual_gain,CDP
DCAC,DRAD-CF-MPC,1.0,60,300,50,20,0.01,0.15,1e-05,0.1165641568108621,1.0,0.1165641568108621,13.88,0.62,0.0,2.8417136776116223,0.9514029244118036,0.5521474019932111,CDP_PDP_90,CDP_PDP_90,switched_with_counterfactual_gain,CDP_PDP_90
DCAC,DRAD-CF-MPC,1.0,80,300,50,20,0.01,0.15,1e-05,0.1103894646636104,1.0,0.1103894646636104,12.28,0.7,0.0,2.5896082911559897,0.9677147711340898,0.4942280751868831,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
DCAC,DRAD-CF-MPC,1.0,100,300,50,20,0.01,0.15,1e-05,0.0809261956015125,0.96,0.077689147777452,9.5,0.48,0.04,2.052040542819663,0.9875652054122648,0.4595369021992437,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
DCDC,DRAD-CF-MPC,0.25,0,270,50,20,0.01,0.15,1e-05,0.8441589075503948,0.88,0.7428598386443475,112.7,0.58,0.12,17.883178151007897,0.4512967100922433,0.155841092449605,NP,NP,zero_budget,NP
DCDC,DRAD-CF-MPC,0.25,20,300,50,20,0.01,0.15,1e-05,0.4548112832043917,0.9,0.4093301548839526,60.36,2.22,0.1,9.459489867601688,0.7223376900083364,0.4543239306630069,CDP,CDP,switched_with_counterfactual_gain,CDP
DCDC,DRAD-CF-MPC,0.25,40,300,50,20,0.01,0.15,1e-05,0.1981859708579583,0.96,0.19025853202364,24.54,1.1,0.04,4.408798698756884,0.9010825808092316,0.5727243065300298,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain,CDP
DCDC,DRAD-CF-MPC,0.25,60,300,50,20,0.01,0.15,1e-05,0.1217166734923371,1.0,0.1217166734923371,13.82,0.52,0.0,2.9231234411789275,0.9500862227121974,0.5489270790672892,CDP,CDP_PDP_90,switched_with_counterfactual_gain,CDP
DCDC,DRAD-CF-MPC,0.25,80,300,50,20,0.01,0.15,1e-05,0.1442349332397819,1.0,0.1442349332397819,16.82,0.82,0.0,3.076983038652859,0.9470614209572632,0.47542503708901,CDP_PDP_90,CDP_PDP_90,switched_with_counterfactual_gain,CDP_PDP_90
DCDC,DRAD-CF-MPC,0.25,100,300,50,20,0.01,0.15,1e-05,0.0905611640685975,0.96,0.0869387175058536,12.1,0.7,0.04,2.177295132891768,0.9869434865417562,0.4547194179657012,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
DCDC,DRAD-CF-MPC,0.5,0,210,50,20,0.01,0.15,1e-05,0.8207214566662357,0.92,0.7550637401329369,106.32,2.0,0.08,17.414429133324713,0.4665310531669467,0.1792785433337643,NP,NP,zero_budget,NP
DCDC,DRAD-CF-MPC,0.5,20,300,50,20,0.01,0.15,1e-05,0.4843045740120988,0.96,0.4649323910516148,60.4,2.1,0.04,10.008065076625035,0.7044020268921358,0.4297461883232511,CDP,CDP,switched_with_counterfactual_gain,CDP
