node_type,pattern,attack_information_ratio,defense_budget,T_opt,n_runs,infection_rate,activation_rate,detection_rate,PAS_at_T_opt,PS_at_T_opt,EP_max,mean_active_infectious,mean_exposed,mean_detected,mean_affected_power_nodes,mean_affected_capacity,RT,RI,RE
COMM_HUB,DCAC,0.25,20,300,40,0.01,0.15,1e-05,0.3470023717412124,0.975,0.3383273124476821,42.8,2.075,0.025,40.825,3024.3900000000003,7.454244114386552,0.7934471568080981,0.5441646902156563
COMM_HUB,DCAC,0.25,40,300,40,0.01,0.15,1e-05,0.203500936202607,1.0,0.203500936202607,24.55,1.025,0.0,24.55,1919.85,4.50021610268484,0.8975186248759872,0.5689279027124237
COMM_HUB,DCAC,0.25,60,300,40,0.01,0.15,1e-05,0.1035576806661043,1.0,0.1035576806661043,12.2,0.625,0.0,12.2,1038.525,2.636211354524448,0.9614199867096732,0.5602764495836847
COMM_HUB,DCAC,0.25,100,300,40,0.01,0.15,1e-05,0.0916459606934752,1.0,0.0916459606934752,9.35,0.5,0.0,9.35,1040.125,2.1913974890151784,0.9822605024122676,0.4541770196532623
COMM_HUB,DCAC,0.5,20,300,40,0.01,0.15,1e-05,0.4570067794762197,1.0,0.4570067794762197,53.3,2.1,0.0,53.3,3995.664999999999,9.500326098257688,0.7226274577938164,0.4524943504364835
COMM_HUB,DCAC,0.5,40,300,40,0.01,0.15,1e-05,0.1837555859008324,1.0,0.1837555859008324,22.35,1.175,0.0,22.35,1786.565,4.160596077494318,0.9102243808328392,0.5830317243565484
COMM_HUB,DCAC,0.5,60,300,40,0.01,0.15,1e-05,0.1029768017878213,0.975,0.1004023817431258,13.225,0.35,0.025,12.0,1040.675,2.6270334682475776,0.9602626058963908,0.5606394988826117
COMM_HUB,DCAC,0.5,100,300,40,0.01,0.15,1e-05,0.0776877198633974,1.0,0.0776877198633974,7.6,0.325,0.0,7.6,834.75,2.009940358224167,0.9896723493311568,0.4611561400683012
COMM_HUB,DCAC,1.0,20,300,40,0.01,0.15,1e-05,0.4105151672473606,0.95,0.3899894088849925,51.275,1.8,0.05,48.3,3628.05,8.635582110800907,0.7519649842790697,0.4912373606271994
COMM_HUB,DCAC,1.0,40,300,40,0.01,0.15,1e-05,0.2262642050807191,0.975,0.2206075999537011,28.125,1.35,0.025,27.375,2156.38,4.891744327388368,0.8806520004644975,0.5526684249423436
COMM_HUB,DCAC,1.0,60,300,40,0.01,0.15,1e-05,0.1367410294252945,0.975,0.1333225036896622,16.775,0.825,0.025,16.75,1415.2900000000002,3.160508264919654,0.949449076724412,0.5395368566091909
COMM_HUB,DCAC,1.0,100,300,40,0.01,0.15,1e-05,0.0741439065920359,0.975,0.072290308927235,7.55,0.325,0.025,7.4,784.51,1.963870785696468,0.9854155977514504,0.4629280467039819
COMM_HUB,DCDC,0.25,20,300,40,0.01,0.15,1e-05,0.394845760602872,0.9,0.3553611845425848,51.325,2.075,0.1,47.6,3319.99,8.344131147213421,0.7612152203743847,0.5042951994976066
COMM_HUB,DCDC,0.25,40,300,40,0.01,0.15,1e-05,0.166087834285895,1.0,0.166087834285895,20.025,1.125,0.0,20.025,1411.59,3.8567107497173945,0.9217606574821468,0.5956515469386464
COMM_HUB,DCDC,0.25,60,300,40,0.01,0.15,1e-05,0.1165996676723649,0.975,0.1136846759805558,13.175,0.625,0.025,12.675,1109.1950000000002,2.842274749223366,0.9557757854479224,0.5521252077047719
COMM_HUB,DCDC,0.25,100,300,40,0.01,0.15,1e-05,0.0794848302969296,0.975,0.0774977095395064,8.975,0.2,0.025,8.675,902.38,2.033302793860085,0.9838175116819154,0.4602575848515352
COMM_HUB,DCDC,0.5,20,300,40,0.01,0.15,1e-05,0.3730069936448553,0.95,0.3543566439626125,45.825,1.9,0.05,43.825,3279.815,7.937930081794312,0.7764870427412484,0.5224941719626205
COMM_HUB,DCDC,0.5,40,300,40,0.01,0.15,1e-05,0.2516094096304339,0.975,0.245319174389673,30.5,1.275,0.025,29.5,2178.885,5.327681845643464,0.8693782716656194,0.5345647074068329
COMM_HUB,DCDC,0.5,60,300,40,0.01,0.15,1e-05,0.1014253766009664,1.0,0.1014253766009664,10.9,0.45,0.0,10.9,959.325,2.60252095029527,0.960579697151086,0.561609139624396
COMM_HUB,DCDC,0.5,100,300,40,0.01,0.15,1e-05,0.1175446474321979,1.0,0.1175446474321979,12.575,0.475,0.0,12.575,1319.5700000000002,2.5280804166185726,0.9689858303864496,0.441227676283901
COMM_HUB,DCDC,1.0,20,300,40,0.01,0.15,1e-05,0.4088723717570713,0.975,0.3986505624631445,51.65,1.825,0.025,48.9,3489.72,8.605026114681527,0.7534443595716738,0.4926063568691072
COMM_HUB,DCDC,1.0,40,300,40,0.01,0.15,1e-05,0.1995805276274466,1.0,0.1995805276274466,24.075,1.325,0.0,24.075,1731.095,4.432785075192082,0.9002092908217026,0.5717281945518239
COMM_HUB,DCDC,1.0,60,240,40,0.01,0.15,1e-05,0.1411845956442244,1.0,0.1411845956442244,15.575,0.625,0.0,15.575,1296.51,3.230716611178746,0.9429952044681228,0.5367596277223597
COMM_HUB,DCDC,1.0,100,300,40,0.01,0.15,1e-05,0.0884999254682196,1.0,0.0884999254682196,9.175,0.35,0.0,9.175,950.695,2.150499031086856,0.98621635872075,0.4557500372658901
COMM_HUB,DDAC,0.25,20,300,40,0.01,0.15,1e-05,0.4605597047435809,1.0,0.4605597047435809,52.775,2.3,0.0,52.775,4217.195,9.566410508230604,0.7206361919166724,0.4495335793803492
COMM_HUB,DDAC,0.25,40,300,40,0.01,0.15,1e-05,0.2033594768947882,1.0,0.2033594768947882,23.15,1.075,0.0,23.15,1802.6300000000003,4.497783002590358,0.8964457010323408,0.5690289450751512
COMM_HUB,DDAC,0.25,60,300,40,0.01,0.15,1e-05,0.1818337266329145,1.0,0.1818337266329145,20.575,0.8,0.0,20.575,1664.4150000000002,3.87297288080005,0.9147957710983068,0.5113539208544283
COMM_HUB,DDAC,0.25,100,300,40,0.01,0.15,1e-05,0.1126369205719326,0.975,0.1098209975576343,11.675,0.375,0.025,11.425,1052.7900000000002,2.4642799674351252,0.976395299480975,0.4436815397140337
COMM_HUB,DDAC,0.5,20,300,40,0.01,0.15,1e-05,0.4198859006404475,0.95,0.3988916056084252,50.375,2.15,0.05,47.75,3825.664999999999,8.809877751912325,0.7456907762598955,0.4834284161329604
COMM_HUB,DDAC,0.5,40,300,40,0.01,0.15,1e-05,0.2236000528635571,1.0,0.2236000528635571,25.025,1.225,0.0,25.025,2021.125,4.8459209092531825,0.8857605170160259,0.5545713908117449
COMM_HUB,DDAC,0.5,60,300,40,0.01,0.15,1e-05,0.1820275821475609,1.0,0.1820275821475609,20.475,0.975,0.0,20.475,1700.12,3.8760357979314626,0.9143844359213844,0.5112327611577744
COMM_HUB,DDAC,0.5,100,300,40,0.01,0.15,1e-05,0.0868899731683644,0.975,0.0847177238391553,9.325,0.525,0.025,8.95,828.525,2.129569651188738,0.9866922988760736,0.4565550134158178
COMM_HUB,DDAC,1.0,20,300,40,0.01,0.15,1e-05,0.457892614232284,1.0,0.457892614232284,52.4,2.4,0.0,52.4,4103.35,9.516802624720482,0.7223698007490155,0.45175615480643
COMM_HUB,DDAC,1.0,40,300,40,0.01,0.15,1e-05,0.2383672548195074,0.975,0.2324080734490197,28.125,1.35,0.025,27.375,2167.76,5.0999167828955265,0.8727765447353114,0.5440233894146376
COMM_HUB,DDAC,1.0,60,300,40,0.01,0.15,1e-05,0.0941285483071594,1.0,0.0941285483071594,11.0,0.475,0.0,11.0,848.2900000000002,2.4872310632531187,0.9640148548545826,0.5661696573080254
COMM_HUB,DDAC,1.0,100,300,40,0.01,0.15,1e-05,0.0911704424982424,1.0,0.0911704424982424,9.35,0.5,0.0,9.35,886.1049999999999,2.185215752477152,0.9820012546627798,0.4544147787508787
COMM_HUB,DDDC,0.25,20,300,40,0.01,0.15,1e-05,0.4070039287789452,0.925,0.3764786341205243,53.375,2.1,0.075,47.975,3472.6899999999996,8.570273075288382,0.7537734654039291,0.4941633926842123
COMM_HUB,DDDC,0.25,40,300,40,0.01,0.15,1e-05,0.1909896233541092,0.975,0.1862148827702565,22.4,1.425,0.025,21.825,1645.59,4.285021521690679,0.9070136437228524,0.5778645547470649
COMM_HUB,DDDC,0.25,60,300,40,0.01,0.15,1e-05,0.2068454511921683,0.925,0.1913320423527557,24.6,1.175,0.075,21.75,1794.0099999999998,4.26815812883626,0.9028559526442392,0.4957215930048947
COMM_HUB,DDDC,0.25,100,300,40,0.01,0.15,1e-05,0.0921048579325729,0.95,0.0874996150359442,9.725,0.625,0.05,8.9,754.28,2.1973631531234483,0.985118621667328,0.4539475710337135
COMM_HUB,DDDC,0.5,20,240,40,0.01,0.15,1e-05,0.3028038488145305,1.0,0.3028038488145305,35.1,1.675,0.0,35.1,2684.83,6.632151587950267,0.8231133643862926,0.5809967926545581
COMM_HUB,DDDC,0.5,40,300,40,0.01,0.15,1e-05,0.2210429202920245,0.975,0.2155168472847238,25.4,1.15,0.025,24.875,1878.02,4.801938229022821,0.8854102266891724,0.5563979140771254
COMM_HUB,DDDC,0.5,60,300,40,0.01,0.15,1e-05,0.1295681333053475,1.0,0.1295681333053475,13.425,0.6,0.0,13.425,1114.12,3.047176506224491,0.9471179094937308,0.5440199166841577
COMM_HUB,DDDC,0.5,100,240,40,0.01,0.15,1e-05,0.0799227808857522,1.0,0.0799227808857522,7.925,0.425,0.0,7.925,651.6,2.038996151514779,0.98955002640097,0.4600386095571238
COMM_HUB,DDDC,1.0,20,300,40,0.01,0.15,1e-05,0.4005269151740032,0.925,0.370487396535953,49.975,2.175,0.075,47.325,3403.365,8.44980062223646,0.758157505136898,0.4995609040216641
COMM_HUB,DDDC,1.0,40,300,40,0.01,0.15,1e-05,0.2402322884350811,0.95,0.228220674013327,28.25,1.3,0.05,27.05,2070.2,5.131995361083396,0.8740936215149191,0.5426912225463706
COMM_HUB,DDDC,1.0,60,240,40,0.01,0.15,1e-05,0.0939993978028535,1.0,0.0939993978028535,10.05,0.825,0.0,10.05,795.575,2.485190485285087,0.9709783071492678,0.5662503763732165
COMM_HUB,DDDC,1.0,100,300,40,0.01,0.15,1e-05,0.0929629374103709,1.0,0.0929629374103709,9.1,0.4,0.0,9.1,797.1600000000001,2.208518186334822,0.988339148052484,0.4535185312948145
COMM_HUB,RC,0.25,20,300,40,0.01,0.15,1e-05,0.3348057450433978,1.0,0.3348057450433978,39.15,2.05,0.0,39.15,2572.55,7.227386857807199,0.8022787847852081,0.5543285457971685
COMM_HUB,RC,0.25,40,300,40,0.01,0.15,1e-05,0.1883085249702063,0.95,0.178893098721696,24.325,1.4,0.05,22.55,1555.02,4.238906629487548,0.9067666064699884,0.5797796250212812
COMM_HUB,RC,0.25,60,300,40,0.01,0.15,1e-05,0.1107271225229803,1.0,0.1107271225229803,12.75,0.5,0.0,12.75,955.775,2.749488535863089,0.9620001199006312,0.5557955484231372
COMM_HUB,RC,0.25,100,300,40,0.01,0.15,1e-05,0.0662928932248384,0.95,0.0629782485635965,8.625,0.375,0.05,7.975,529.8149999999999,1.8618076119229,0.9904750080742328,0.4668535533875808
COMM_HUB,RC,0.5,20,300,40,0.01,0.15,1e-05,0.38890832715579,0.95,0.3694629107980005,46.875,2.05,0.05,45.525,3104.32,8.233694885097695,0.7661657641736734,0.5092430607035083
COMM_HUB,RC,0.5,40,300,40,0.01,0.15,1e-05,0.1857580787363404,1.0,0.1857580787363404,22.35,1.175,0.0,22.35,1533.8,4.195038954265057,0.9094049121970688,0.5816013723311853
COMM_HUB,RC,0.5,60,300,40,0.01,0.15,1e-05,0.1566722240977936,1.0,0.1566722240977936,18.525,0.7,0.0,18.525,1310.87,3.4754211407451394,0.9357436697753878,0.5270798599388791
COMM_HUB,RC,0.5,100,300,40,0.01,0.15,1e-05,0.0632896931991668,1.0,0.0632896931991668,7.75,0.55,0.0,7.75,492.83,1.8227660115891695,0.9931512556221428,0.4683551534004165
COMM_HUB,RC,1.0,20,300,40,0.01,0.15,1e-05,0.3554546278838711,0.95,0.3376818964896776,43.15,2.375,0.05,41.35,2729.925,7.611456078640005,0.7879106687004208,0.5371211434301074
COMM_HUB,RC,1.0,40,300,40,0.01,0.15,1e-05,0.1812031678723657,0.95,0.1721430094787474,22.675,0.85,0.05,21.8,1449.115,4.116694487404691,0.9075747785536018,0.5848548800911674
COMM_HUB,RC,1.0,60,240,40,0.01,0.15,1e-05,0.1054588890891115,1.0,0.1054588890891115,12.25,0.4,0.0,12.25,882.1049999999999,2.666250447607962,0.9592069341207968,0.5590881943193052
COMM_HUB,RC,1.0,100,300,40,0.01,0.15,1e-05,0.065428493069527,0.975,0.0637927807427888,7.55,0.325,0.025,7.4,530.4399999999999,1.8505704099038511,0.9906173442097708,0.4672857534652365
CYBER_PHYSICS_OVERLAP,DCAC,0.25,20,300,40,0.01,0.15,1e-05,0.3781303861915953,0.925,0.3497706072272257,47.575,2.025,0.075,44.075,3402.6449999999995,8.033225183163673,0.7718078437299859,0.5182246781736707
CYBER_PHYSICS_OVERLAP,DCAC,0.25,40,300,40,0.01,0.15,1e-05,0.1940063036802848,1.0,0.1940063036802848,23.0,0.85,0.0,23.0,1852.29,4.336908423300899,0.9025255589140708,0.5757097830855109
CYBER_PHYSICS_OVERLAP,DCAC,0.25,60,300,40,0.01,0.15,1e-05,0.1111039807582728,0.975,0.1083263812393159,13.5,0.4,0.025,13.5,1191.785,2.7554428959807105,0.9577179690227616,0.5555600120260794
CYBER_PHYSICS_OVERLAP,DCAC,0.25,100,300,40,0.01,0.15,1e-05,0.0918498717655864,0.975,0.0895536249714467,10.55,0.45,0.025,9.95,1064.715,2.1940483329526232,0.979358384264857,0.4540750641172068
CYBER_PHYSICS_OVERLAP,DCAC,0.5,20,300,40,0.01,0.15,1e-05,0.3688962731340027,0.95,0.3504514594773025,45.925,2.0,0.05,43.825,3419.8950000000004,7.861470680292451,0.7790172654527522,0.5259197723883311
CYBER_PHYSICS_OVERLAP,DCAC,0.5,40,300,40,0.01,0.15,1e-05,0.1940960158947687,0.975,0.1892436154973995,25.55,1.25,0.025,23.925,1891.24,4.3384514733900215,0.9072406559831344,0.5756457029323082
CYBER_PHYSICS_OVERLAP,DCAC,0.5,60,300,40,0.01,0.15,1e-05,0.1265428546634229,1.0,0.1265428546634229,15.2,0.9,0.0,15.2,1310.79,2.999377103682082,0.9457075198318444,0.5459107158353607
CYBER_PHYSICS_OVERLAP,DCAC,0.5,100,300,40,0.01,0.15,1e-05,0.0890429448514071,1.0,0.0890429448514071,9.6,0.35,0.0,9.6,1064.66,2.157558283068292,0.9830672076617708,0.4554785275742965
CYBER_PHYSICS_OVERLAP,DCAC,1.0,20,300,40,0.01,0.15,1e-05,0.4486424049818568,1.0,0.4486424049818568,53.225,2.3,0.0,53.225,4102.385,9.344748732662538,0.728382436761793,0.4594646625151193
CYBER_PHYSICS_OVERLAP,DCAC,1.0,40,300,40,0.01,0.15,1e-05,0.2084489127395812,0.975,0.2032376899210917,25.425,1.175,0.025,25.2,2006.0350000000003,4.585321299120798,0.8915270337591783,0.565393633757442
CYBER_PHYSICS_OVERLAP,DCAC,1.0,60,300,40,0.01,0.15,1e-05,0.1144503800863335,0.975,0.1115891205841751,15.05,0.825,0.025,13.525,1178.85,2.8083160053640697,0.952601005297426,0.5534685124460414
CYBER_PHYSICS_OVERLAP,DCAC,1.0,100,300,40,0.01,0.15,1e-05,0.0808639752909279,1.0,0.0808639752909279,9.175,0.375,0.0,9.175,935.385,2.051231678782064,0.9855665705515854,0.459568012354536
CYBER_PHYSICS_OVERLAP,DCDC,0.25,20,300,40,0.01,0.15,1e-05,0.5094262092768345,0.825,0.4202766226533884,78.2,2.45,0.175,70.2,3698.215,10.475327492549122,0.6853729639700576,0.4088114922693046
CYBER_PHYSICS_OVERLAP,DCDC,0.25,40,300,40,0.01,0.15,1e-05,0.3985066659799987,0.875,0.3486933327324988,66.275,2.725,0.125,60.775,2693.415,7.854314654855978,0.7755959436896671,0.4296380957285723
CYBER_PHYSICS_OVERLAP,DCDC,0.25,60,300,40,0.01,0.15,1e-05,0.2824162094944341,0.925,0.2612349937823516,46.55,1.65,0.075,44.65,1994.365,5.462176110012059,0.8699409181851585,0.4484898690659786
CYBER_PHYSICS_OVERLAP,DCDC,0.25,100,240,40,0.01,0.15,1e-05,0.0667748548789439,1.0,0.0667748548789439,10.65,0.5,0.0,10.65,450.35,1.8680731134262711,0.994664450830714,0.466612572560528
CYBER_PHYSICS_OVERLAP,DCDC,0.5,20,300,40,0.01,0.15,1e-05,0.5482752854916733,0.9,0.4934477569425059,83.25,2.425,0.1,76.225,3770.0,11.197920310145124,0.6616210644304124,0.3764372620902722
CYBER_PHYSICS_OVERLAP,DCDC,0.5,40,300,40,0.01,0.15,1e-05,0.436491201755351,0.9,0.3928420815798159,68.875,2.5,0.1,65.225,3032.925,8.507648670192037,0.7522807188590219,0.4025062844604636
CYBER_PHYSICS_OVERLAP,DCDC,0.5,60,300,40,0.01,0.15,1e-05,0.3153827128965686,0.95,0.2996135772517401,50.3,1.5,0.05,49.675,2184.975,5.983046863765785,0.8498610774662196,0.4278858044396445
CYBER_PHYSICS_OVERLAP,DCDC,0.5,100,300,40,0.01,0.15,1e-05,0.0758435100747455,1.0,0.0758435100747455,11.85,0.65,0.0,11.85,498.775,1.9859656309716924,0.9956955518126324,0.4620782449626272
CYBER_PHYSICS_OVERLAP,DCDC,1.0,20,300,40,0.01,0.15,1e-05,0.587152280692148,0.9,0.5284370526229332,86.325,1.925,0.1,80.475,4146.295,11.921032420873953,0.6363510175501039,0.3440397660898767
CYBER_PHYSICS_OVERLAP,DCDC,1.0,40,300,40,0.01,0.15,1e-05,0.4290857832143162,0.9,0.3861772048928846,68.6,2.2,0.1,63.4,3036.8950000000004,8.380275471286238,0.7570942409106944,0.4077958691326313
CYBER_PHYSICS_OVERLAP,DCDC,1.0,60,300,40,0.01,0.15,1e-05,0.2738010195379085,0.975,0.2669559940494607,43.7,1.575,0.025,42.2,2016.41,5.326056108698954,0.8791502018087641,0.4538743627888071
CYBER_PHYSICS_OVERLAP,DCDC,1.0,100,300,40,0.01,0.15,1e-05,0.0841593124431304,1.0,0.0841593124431304,13.325,0.7,0.0,13.325,544.0550000000001,2.0940710617606957,0.9908253793648604,0.4579203437784348
